Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,DigiKeyLink,LCSC,LCSCLink,LinkLCSC,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MPN,MPN_LCSC,PARTREV,Price,Price_LCSC,Price_LCSSC,STANDARD,VALUE
22,2,"R8, R9",1k,Device:R,Resistor_SMD:R_0402_1005Metric,~,,,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FOJAN-FRC0402J102-TS_C2906899.html,,,,,C2906899,,,0.0005,,,
23,2,"R10, R16",100k,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,,,,,C106234,,,0.0005,,,
25,1,R12,442K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_YAGEO-RC0402FR-07442KL_C273339.html,,,,C273339,,,0.0006,,,
26,1,R13,160K,Device:R_Small,Resistor_SMD:R_0402_1005Metric,~,,,https://lcsc.com/product-detail/Chip-span-style-background-color-ff0-Resistor-span-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGJ0164TCE_C423115.html,,,,,C423115,,,0.0005,,,
27,1,SW1,SW_SPST,Switch:SW_SPST,Button_Switch_SMD:SW_SPST_B3U-3000P-B,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3u.pdf,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/B3U-3100P-B/1811780,,https://lcsc.com/product-detail/Tactile-Switches_Omron-Electronics-B3U-3000PM-B_C306884.html,,,,SW1103CT-ND,C306884,,1.49,,0.7718,,
49,1,U1,ESP32-PICO-D4,ESP32-PICO-D4:ESP32-PICO-D4,OSSG_footprints:ESP32_PICO_D4,https://www.espressif.com/sites/default/files/documentation/esp32-pico-d4_datasheet_en.pdf,https://www.digikey.ca/en/products/detail/espressif-systems/ESP32-PICO-D4/9381722,,https://lcsc.com/product-detail/RF-Transceiver-ICs_Espressif-Systems-ESP32-PICO-D4_C193707.html,,Espressif Systems,1.04 mm,1904-1029-1-ND,C193707,v1.9,4.1837,,,IPC 7351B,
50,1,U2,TP4056,TP4056:TP4056,Package_SO:SOP-8_5.28x5.23mm_P1.27mm,,,,https://lcsc.com/product-detail/Battery-Management-ICs_TOPPOWER-Nanjing-Extension-Microelectronics-TP4056M_C21417.html,,NanJing Top Power ASIC Corp.,1.75mm,,C21417,,,0.3102,,IPC 7351B,
51,1,U3,XC6222B331MRG,OSSG_components_lib:XC6222B331MRG,Package_TO_SOT_SMD:SOT-23-5,https://media.digikey.com/pdf/Data%20Sheets/Torex/XC6222.pdf,https://www.digikey.ca/en/products/detail/torex-semiconductor-ltd/XC6222B331MR-G/2138187,,https://lcsc.com/product-detail/Linear-Voltage-Regulators-span-style-background-color-ff0-LDO-span_MICRONE-Nanjing-Micro-One-Elec-ME6217C33M5G_C427602.html,,,,893-1143-1-ND,C427602,,1.25,0.58,,,
52,1,U4,CH9102F,wch-usb-uart:CH9102F,Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,,,,,,,,C2858418,,,,,,
53,1,U5,CL7809SS,OSSG_components_lib:APX803L-29SA-7,Package_TO_SOT_SMD:SOT-23,https://www.diodes.com/assets/Datasheets/APX803L.pdf,,,https://lcsc.com/product-detail/Monitors-Reset-Circuits_ChipLink-Tech-CL7809SS_C2961121.html,,,,,CL7809SS,,,0.0395,,,
54,1,U6,MP23DB01HPTR,microphone-rescue:MP23DB01HPTR-Pauls_Symbol_Library,OSSG_footprints:MP23DB01HPTR,https://www.st.com/resource/en/datasheet/mp23db01hp.pdf,https://www.digikey.ca/en/products/detail/stmicroelectronics/MP23DB01HPTR/12337705?s=N4IgTCBcDaILIAUwGYAiAhADARgBIIBUAlEAXQF8g,,https://www.lcsc.com/product-detail/MEMS-Microphones_INGHAi-GMA3526H10-B26_C498192.html,,,,497-MP23DB01HPCT-ND,C498192,,3.31,1.0964,,,
